"","country","creative","rich","equality","admired","safe","newthings","rules","understanding","modesty","enjoy","free","help","success","strong_gov","exciting","properbehaviour","respected","loyal","environment","traditions","seekfun"
"14402","FI",4,1,6,2,3,4,3,5,4,4,5,6,3,5,3,3,2,6,5,4,5
"31205","NL",6,2,6,4,5,4,1,3,2,4,6,6,4,5,2,5,5,5,3,1,5
"8681","DE",3,3,6,4,6,3,4,4,5,2,5,6,3,5,2,5,5,5,6,5,3
"25469","IL",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"29713","LT",5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5
"40131","SI",5,3,5,5,5,5,5,5,5,5,5,5,5,5,3,4,5,5,5,5,5
"9855","DE",6,2,6,2,4,3,4,5,5,3,5,5,2,2,2,5,5,5,6,4,2
"3997","CH",3,4,5,3,2,4,3,4,5,6,5,4,4,3,2,3,4,4,4,5,5
"32210","NL",4,1,6,4,3,5,2,6,4,1,5,5,2,2,3,3,2,6,6,2,3
"18577","GB",5,1,3,1,2,2,2,5,3,2,5,3,1,4,1,4,2,5,6,3,2
"35514","PT",4,4,4,4,4,4,4,4,1,4,4,4,4,2,4,4,4,4,4,4,4
"36183","PT",6,2,6,2,5,6,2,1,5,4,5,5,4,4,1,4,2,6,6,4,2
"35759","PT",3,1,4,3,4,4,2,4,4,4,3,3,3,4,2,3,3,4,4,4,4
"22438","IE",5,1,4,5,5,5,4,5,4,5,5,4,5,5,5,4,5,5,4,5,6
"38193","RU",5,6,5,5,6,6,6,6,4,6,6,5,6,6,6,6,6,6,5,6,6
"24389","IL",4,4,5,4,5,5,5,5,4,5,4,4,5,5,5,5,5,4,4,5,5
"34493","PL",5,2,4,2,5,2,4,4,4,2,5,4,2,5,3,3,4,4,2,4,2
"27993","IT",5,1,6,3,6,2,2,6,5,2,6,5,3,5,2,2,4,5,6,2,2
"39403","SE",6,4,6,5,5,4,2,5,2,5,6,5,4,4,2,2,2,4,4,4,4
"26280","IS",4,3,5,3,3,3,2,3,4,6,4,6,4,5,5,1,3,6,3,3,4
"3882","CH",5,2,5,3,6,5,3,5,5,6,6,6,3,6,2,4,6,6,6,6,4
"37957","RU",4,4,4,4,5,5,3,4,3,5,5,4,6,5,4,5,6,6,5,5,5
"2644","BE",4,3,5,3,4,4,4,5,4,4,5,5,3,6,4,5,3,6,5,5,5
"1646","AT",5,4,6,6,6,4,3,6,4,6,6,5,6,6,3,5,4,6,6,6,6
"31928","NL",6,3,5,3,4,6,2,5,5,5,6,6,4,5,5,2,5,6,6,2,4
"26622","IT",5,2,5,4,5,4,5,5,5,3,4,5,4,6,1,5,4,6,6,5,2
"13416","ES",6,2,5,5,4,3,1,4,6,5,6,5,2,3,4,5,1,6,6,1,4
"23225","IE",5,5,6,2,6,6,6,6,6,2,6,6,3,6,1,6,6,6,6,6,5
"6396","CZ",2,2,4,2,4,2,4,4,4,2,2,4,2,4,2,2,2,4,2,4,2
"28552","IT",4,3,5,4,5,4,5,4,4,3,6,4,5,6,3,4,5,4,4,4,4
"13814","FI",5,2,6,4,3,5,2,6,2,4,6,6,3,2,5,3,4,6,6,6,6
"3107","BE",5,2,2,5,5,4,5,5,5,5,5,5,3,3,4,5,5,5,5,5,5
"37894","RU",5,5,4,5,6,5,3,5,2,5,6,3,4,5,6,4,5,6,5,5,6
"27219","IT",4,3,4,4,3,3,4,5,4,3,5,5,5,3,2,5,5,5,6,6,3
"28427","IT",4,4,5,5,5,5,4,4,4,4,5,5,5,5,3,3,4,5,4,3,5
"36754","RU",5,5,4,3,5,4,5,4,4,6,5,3,4,4,5,5,4,4,5,6,4
"10718","EE",3,3,6,4,5,5,2,4,3,4,4,5,2,6,3,4,2,5,5,4,3
"5967","CZ",5,4,6,4,6,4,5,3,4,5,6,5,3,3,4,5,5,6,4,5,3
"3886","CH",2,2,5,2,3,3,1,5,5,3,5,5,3,5,2,4,2,5,5,2,2
"25040","IL",3,4,4,4,2,4,3,3,4,5,5,3,5,5,5,5,5,4,4,4,5
"6329","CZ",2,2,3,4,4,1,4,3,3,4,4,3,3,4,2,2,4,3,3,2,2
"33499","NO",5,4,5,3,6,2,6,6,6,5,5,5,6,4,2,6,1,5,3,3,6
"5300","CZ",4,4,4,3,4,3,3,4,4,4,4,4,3,4,3,3,4,4,4,4,4
"41067","SI",3,2,5,2,5,4,2,2,5,4,5,5,4,5,2,5,5,5,5,5,5
"30062","LT",2,2,2,2,3,2,3,2,2,2,2,2,3,4,2,2,2,2,3,3,1
"33572","NO",6,2,5,4,6,6,5,6,3,3,2,6,6,5,6,5,4,6,5,6,5
"31025","NL",5,5,6,6,6,5,5,5,6,4,4,5,5,5,5,6,5,5,4,3,6
"3878","CH",6,4,5,4,5,6,2,6,4,6,6,5,4,4,5,4,5,6,6,4,5
"23662","IL",6,2,6,6,6,6,6,6,6,6,6,6,6,6,5,6,4,6,6,6,6
"38208","RU",4,5,5,4,5,5,4,4,4,4,5,5,5,5,4,5,4,5,5,5,5
"21891","IE",1,1,5,1,4,1,5,3,6,1,4,6,1,5,1,5,2,5,6,6,1
"34842","PL",2,2,5,2,5,5,5,5,6,2,5,5,2,6,2,6,4,6,6,6,3
"28422","IT",6,5,3,5,6,4,3,6,4,4,5,5,6,4,3,5,5,5,4,5,2
"41022","SI",5,1,6,2,5,5,5,5,5,5,5,6,5,5,5,1,1,5,5,1,5
"28635","IT",4,1,4,3,4,3,4,4,4,3,3,4,4,4,2,4,4,4,5,4,2
"16702","FR",6,1,6,1,3,5,1,3,5,3,5,5,1,4,3,2,1,6,5,2,5
"12656","ES",4,3,5,3,3,3,2,5,3,5,5,4,2,1,6,2,3,5,3,4,5
"127","AT",3,3,4,4,4,3,3,3,3,3,3,5,4,4,4,4,4,3,3,3,3
"10113","EE",2,5,5,4,5,2,4,5,6,5,3,3,4,5,4,5,3,4,4,3,4
"31611","NL",6,4,5,5,6,5,5,4,3,4,4,5,5,5,4,3,4,5,5,3,5
"3342","BE",6,3,5,4,6,5,5,5,5,4,4,5,4,5,3,6,4,5,4,5,4
"40688","SI",5,2,6,4,6,3,5,6,6,6,3,6,5,6,2,6,2,6,5,6,6
"25745","IS",4,3,4,2,5,5,5,6,4,4,5,5,4,5,5,2,2,5,5,4,5
"37392","RU",4,2,4,2,3,2,5,4,5,3,6,5,2,6,2,5,5,5,5,5,5
"1359","AT",5,4,5,5,4,4,3,4,4,5,5,5,5,6,5,3,4,6,5,4,4
"38652","SE",5,6,4,5,4,5,4,4,5,4,5,3,4,3,4,5,4,5,4,5,5
"3955","CH",5,1,6,2,5,2,2,5,3,2,6,6,4,5,1,4,2,6,6,5,3
"36072","PT",6,3,6,3,6,6,6,4,4,6,6,4,5,4,6,4,5,6,5,3,6
"26831","IT",4,5,6,6,5,6,4,5,3,5,6,6,4,4,4,3,3,2,6,6,6
"26112","IS",4,3,4,1,2,5,1,5,3,6,6,4,2,3,4,4,2,6,3,1,4
"37498","RU",2,2,5,2,4,2,2,3,5,4,5,5,4,5,3,5,5,5,5,5,3
"27910","IT",4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,6,6,6,6,6,4
"22410","IE",6,4,6,3,6,6,6,5,6,6,6,6,5,5,4,5,6,6,5,5,6
"18977","GB",2,2,6,5,5,2,2,3,6,6,5,4,5,4,2,3,4,5,3,2,5
"29788","LT",2,2,6,4,6,2,2,4,4,3,3,6,1,6,3,5,4,6,6,6,3
"25687","IS",5,2,6,4,5,3,5,5,5,3,4,5,4,2,2,5,5,6,5,4,3
"2868","BE",6,3,6,6,4,2,4,5,3,6,6,6,6,4,4,3,3,6,5,6,6
"40220","SI",5,2,5,4,4,5,2,5,5,4,5,5,4,4,4,4,4,5,5,4,5
"40374","SI",5,4,6,4,5,6,4,5,5,5,5,5,5,5,5,4,5,6,5,4,5
"1956","BE",5,3,5,5,5,4,5,4,5,3,6,5,3,5,4,5,3,5,4,5,4
"33360","NO",5,4,5,4,5,3,4,4,5,5,6,5,4,5,5,5,3,5,5,2,4
