FIPS,DemRep,state_abbr,Clinton,Trump,population2014,population2010,population_change,ageunder5,ageunder18,age65plus,femaleperc,white,black,native,asian,hawaiian,morerace,hispanic,whitealone,home1year,foreignborn,nonenglish,eduhighschool,edubachelor,veteranperc,traveltime,houses,houseown,housemulti,households,pphousehold,income,poverty,retailsales,landarea,density
1001,Rep,AL,23.95685495,73.4357893,55395,54571,1.5,6,25.2,13.8,51.4,77.9,18.7,0.5,1.1,0.1,1.8,0.027,75.6,85,1.6,3.5,85.6,20.9,10.69049553,26.2,22751,76.8,8.3,20071,2.71,24571,12.1,12003,594.44,91.8
1003,Rep,AL,19.56530981,77.35147199,200111,182265,9.8,5.6,22.2,18.7,51.2,87.1,9.6,0.7,0.9,0.1,1.6,0.046,83,82.1,3.6,5.5,89.1,27.7,9.667634463,25.9,107374,72.6,24.4,73283,2.52,26766,13.9,17166,1589.78,114.6
1005,Rep,AL,46.66025024,52.27141482,26887,27457,-2.1,5.7,21.2,16.5,46.6,50.2,47.6,0.6,0.5,0.2,0.9,0.045,46.6,84.8,2.9,5,73.7,13.4,7.884851415,24.6,11799,67.7,10.6,9200,2.66,16829,26.7,6334,884.88,31
1007,Rep,AL,21.42203932,76.96616369,22506,22919,-1.8,5.3,21,14.8,45.9,76.3,22.1,0.4,0.2,0.1,0.9,0.021,74.5,86.6,1.2,2.1,77.5,12.1,5.896205456,27.6,8978,79,7.3,7091,3.03,17427,18.1,5804,622.58,36.8
1009,Rep,AL,8.469902301,89.8518752,57719,57322,0.7,6.1,23.6,17,50.5,96,1.8,0.6,0.3,0.1,1.2,0.087,87.8,88.7,4.3,7.3,77,12.1,7.865694139,33.9,23826,81,4.5,21108,2.7,20730,15.8,5622,644.78,88.9
1011,Dem,AL,75.0904063,24.22888747,10764,10915,-1.4,6.3,21.4,14.9,45.3,26.9,70.1,0.8,0.3,0.7,1.1,0.075,22.1,84.7,5.4,5.2,67.8,12.5,5.908584169,26.9,4461,74.3,8.7,3741,2.73,18628,21.6,3995,622.81,17.5
1013,Rep,AL,42.78641336,56.31548647,20296,20946,-3.1,6.1,23.6,18,53.6,53.9,44,0.4,0.9,0,0.8,0.012,53.1,94.6,0.8,1.7,76.3,14,7.375837603,24,9916,70.3,13.3,8235,2.47,17403,28.4,11326,776.83,27
1015,Rep,AL,27.85587639,69.23969943,115916,118586,-2.3,5.7,22.2,16,51.8,75.8,21.1,0.5,0.9,0.1,1.7,0.035,72.9,83.6,2.4,4.5,78.6,16.1,9.821767487,22.5,53289,68.7,13.8,45196,2.54,20828,21.9,13678,605.87,195.7
1017,Rep,AL,41.82755117,56.63376397,34076,34170,-0.3,5.9,21.4,18.3,52.3,58.3,39.5,0.3,0.8,0.1,1.1,0.02,56.8,85.8,1.1,1.3,75.1,11.8,7.897053645,24.6,16894,67.9,11.1,13722,2.46,19291,24.1,7620,596.53,57.4
1019,Rep,AL,14.51013996,83.87127487,26037,25986,0.2,4.8,20.4,20.9,50.2,93,4.6,0.5,0.3,0,1.6,0.015,91.6,90.6,0.7,1.1,78.3,12.8,8.349656258,26.9,16241,76.1,4.6,11656,2.2,22030,21.2,7613,553.7,46.9
1021,Rep,AL,15.93536018,82.54176938,43931,43631,0.7,6.4,24.2,15.2,50.8,87.1,10.6,0.5,0.4,0.2,1.2,0.077,80.3,88.8,5.2,7.4,76,12.9,7.529990212,31.8,19221,74.5,4.1,16232,2.67,20701,19.5,8496,692.85,63
1023,Rep,AL,42.77655476,56.43918547,13323,13858,-3.9,4.9,20.6,20.8,52.5,56.6,42.4,0.2,0.3,0,0.5,0.008,56.1,91.4,0.3,1.3,75.2,11.8,7.040456354,33.4,7231,83.7,4,5518,2.45,20323,21.5,5969,913.5,15.2
1025,Rep,AL,44.15584416,54.95516388,24945,25840,-3.5,5.6,22.6,18,52.8,54,44.2,0.4,0.5,0,0.8,0.013,53.1,92.5,0.3,1.3,78.3,11.2,6.345961114,25.5,12583,72.9,6.8,9631,2.63,18979,29.3,13034,1238.47,20.9
1027,Rep,AL,18.77662812,79.58003652,13552,13932,-2.7,5.3,21.6,19.4,50.6,82.8,14.5,0.6,0.3,0,1.8,0.034,79.7,88.3,2.2,3.3,76.5,9.2,7.939787485,30.7,6736,75,10,5649,2.38,18694,19,5123,603.96,23.1
