"","Player","Team","MarketValue","Age","Matches","Contract","Goals","Assists","Minutes","Height","AtClub","BothFeet","OwnGoals","Yellow","YellowRed","Red","SubOn","SubOff","Position"
"1","Zakaria Bakkali","PSV Eindhoven",2500000,18,16,1,3,0,679,164,1,1,0,0,0,0,9,6,"Forward"
"2","Rochdi Achenteh","Vitesse",9e+05,26,23,2,1,2,2001,165,0.5,0,0,5,0,0,0,3,"Defender"
"3","Shadrach Eghan Kwesi","FC Twente Enschede",1500000,19,24,3,5,5,1231,165,1,0,0,3,0,0,7,16,"Midfielder"
"4","Angelo Cijntje","FC Groningen",2e+05,33,1,0,0,0,4,167,1,1,0,0,0,0,1,0,"Defender"
"5","Denis Mahmudov","PEC Zwolle",150000,24,6,1,1,0,274,167,0.5,1,0,0,0,0,3,2,"Forward"
"6","Bilal Ould-Chikh","FC Twente Enschede",50000,16,1,2,0,0,22,167,0.5,0,0,0,0,0,1,0,"Forward"
"7","Lerin Duarte","AFC Ajax",3e+06,23,19,3,5,0,1065,168,1,0,0,3,0,0,9,3,"Midfielder"
"8","Tommy Oar","FC Utrecht",1500000,22,31,1,1,6,2495,169,4,0,0,5,0,0,1,11,"Midfielder"
"9","Jordy Clasie","Feyenoord Rotterdam",7e+06,22,32,2,1,8,2833,169,2,1,1,4,0,0,0,7,"Midfielder"
"10","Jetro Willems","PSV Eindhoven",4e+06,20,28,3,4,3,2368,169,3,0,0,5,0,0,0,7,"Defender"
"11","Jarchinio Antonia","Go Ahead Eagles Deventer",6e+05,23,33,1,9,7,2638,169,3,0,0,4,0,1,2,15,"Forward"
"12","Mustafa Saymak","PEC Zwolle",7e+05,21,30,2,6,6,2345,169,3,0,0,3,0,0,1,12,"Midfielder"
"13","Elson Hooi","NAC Breda",5e+05,22,22,2,3,2,1232,169,2,0,0,4,0,0,9,6,"Forward"
"14","Romeo Castelen","RKC Waalwijk",6e+05,31,29,1,6,8,2161,170,1,0,0,1,0,0,1,18,"Forward"
"15","Bojan Krkic","AFC Ajax",7e+06,23,24,0,4,4,1352,170,1,0,0,2,0,0,7,12,"Forward"
"16","Bart van Brakel","SC Cambuur-Leeuwarden",250000,27,8,0,0,1,499,170,1,0,0,1,0,0,2,3,"Midfielder"
"17","Navarone Foor","NEC Nijmegen",1e+06,22,24,2,2,1,1510,170,3,0,0,1,0,0,8,5,"Midfielder"
"18","Tjaronn Chery","FC Groningen",1500000,25,31,2,7,6,2705,170,0,0,0,5,1,0,0,6,"Midfielder"
"19","Willie Overtoom","AZ Alkmaar",1750000,27,7,2,0,0,320,170,1.5,1,0,0,0,0,7,0,"Midfielder"
"20","Bryan Linssen","Heracles Almelo",9e+05,23,31,2,11,0,2698,170,1,0,0,7,0,0,0,3,"Forward"
"21","Pele van Anholt","sc Heerenveen",1500000,23,31,2,2,2,2747,170,2,0,0,9,0,0,0,3,"Defender"
"22","Kamohelo Mokotjo","PEC Zwolle",1e+06,23,27,2,2,2,2310,170,1,1,0,1,0,0,0,4,"Midfielder"
"23","Santiago Arias","PSV Eindhoven",1500000,22,25,3,1,3,2177,170,1,0,0,5,0,0,0,2,"Defender"
"24","Lorenzo Burnet","FC Groningen",5e+05,23,20,0,0,1,1377,170,3,0,0,3,0,0,5,4,"Defender"
"25","Felipe Gutiérrez","FC Twente Enschede",4e+06,23,33,3,3,4,2950,170,2,0,0,3,0,0,0,1,"Midfielder"
"26","Joey Belterman","Heracles Almelo",2e+05,20,2,0,0,0,72,170,2.5,0,0,0,0,0,2,0,"Midfielder"
"27","Vidarrell Papito Merencia","ADO Den Haag",75000,20,2,1,0,0,28,170,1,0,0,0,0,0,2,0,"Midfielder"
"28","Youness Mokhtar","FC Twente Enschede",2e+06,22,29,3,4,9,1717,171,1,0,0,3,0,0,11,11,"Forward"
"29","Thomas Azevedo","Go Ahead Eagles Deventer",650000,22,5,0,0,0,78,171,0.5,0,0,0,0,0,5,0,"Forward"
"30","Giovanni Hiwat","PEC Zwolle",250000,20,16,0,1,2,1046,171,3,0,0,0,0,0,5,4,"Forward"
"31","Peter Gommeren","NAC Breda",75000,22,1,0,0,0,30,171,2,0,0,0,0,0,1,0,"Midfielder"
"32","Kwame Quansah","Heracles Almelo",850000,31,25,0,0,1,1743,172,10,0,0,4,0,0,5,8,"Midfielder"
"33","Ruben Schaken","Feyenoord Rotterdam",2e+06,32,32,1,4,4,2140,172,4,0,0,2,0,0,7,14,"Forward"
"34","Mathias Gehrt","ADO Den Haag",1e+06,21,23,1,5,3,1671,172,1,0,0,3,0,0,3,9,"Forward"
"35","Thulani Serero","AFC Ajax",2e+06,24,29,1,3,4,2274,172,3,0,0,3,0,0,4,6,"Midfielder"
"36","Rémy Amieux","RKC Waalwijk",5e+05,27,34,1,2,2,3025,172,1,0,0,4,0,0,0,3,"Defender"
"37","Anouar Kali","Roda JC Kerkrade",1400000,22,29,2,1,3,2519,172,1,0,0,7,0,0,1,4,"Midfielder"
