"","NL","Fr","Du","En","Ge","Ak","WkAC","WkBD","Nk","Sk","Bi","Ec"
"1",74.69,79.21,70.98,71.6,72.52,71.26,67.39,76.09,64.86,72.33,67.81,75.07
"2",70.19,75.6,72.59,72.1,72.92,66.85,63.95,76.45,76.07,70.29,68.24,76.92
"3",71.07,71.87,66.44,66.69,63.3,56.64,63.88,61.9,68.97,68.54,63.84,62.62
"4",66.86,65.28,56.97,65.12,67.03,67.78,66.9,75.28,65.74,67.2,68.62,61.72
"5",67.67,65.56,65.67,67.24,66.58,71.54,67.51,66.78,64.65,63.5,68.95,64.78
"6",71.22,69.32,62.96,69.49,75.88,68.42,65.96,69.96,63.96,68.96,69.96,70.63
"7",69.34,63.28,58.82,67.37,71.28,72.05,76.74,67.78,62.21,71.82,65.31,62.28
"8",64.43,61.47,59.82,67.3,70.23,66.36,70.61,69.93,66.27,70.07,70.27,66.86
"9",65.7,71.23,63.75,66.13,72.65,60.07,63.07,59.59,63.34,65,65.63,67.06
"10",63.73,66.07,62.71,65.6,65.15,60.85,59.56,66.9,67.75,66.22,68.01,65.18
"11",65.84,63.08,53.28,68.75,70.63,67.08,72.99,64.48,70.28,70.68,66.28,80.22
"12",67.44,73.39,65.24,68.55,66.93,68.1,66.03,71.78,66.36,71.46,68.42,62.67
"13",67.93,67.24,59.83,67.34,66.95,67.95,71.21,71.17,71.24,75.64,69.44,62.24
"14",64.1,73.07,71.97,69.46,68.47,63.6,60.6,80.57,75.5,76.83,74.02,62.43
"15",67.89,61.21,66.09,66.71,65.87,69.21,63.55,65.87,69.62,66.87,69.02,72.46
"16",65.38,69.15,63.76,65.46,69.73,65.34,60.03,63.1,67.99,70.05,60.77,66.68
"17",71.37,78.98,67.3,70.47,73.8,65.88,64.02,70.08,67.05,72.99,69.5,69.15
"18",68.67,64.7,59.77,65.98,65.21,66.07,65.61,80.02,68.54,66.29,61.98,66.32
"19",66.28,78.07,72.29,71.58,68.44,71.99,66.02,79.46,69.83,71.1,72.25,65.13
"20",65.82,81.85,79.06,68.7,67.12,67.45,65.55,75.45,64.58,68.04,64.02,68.37
"21",63.12,70.79,57.4,65.7,70.66,57.99,66.79,66.75,63.79,69.67,69.51,68.67
"22",64.79,60.1,68.73,65.86,63.71,64.25,74.42,48.79,66.88,68.63,64.12,68.79
"23",63.99,72.17,62.35,65.77,67.14,66.4,62.84,70.39,64.43,65.3,65.78,65.75
"24",66.95,67.95,61.46,68.21,64.5,66.22,67.2,73.67,71.91,71.87,69.41,64.19
"25",67.8,61.57,60.4,67.54,71.21,65.85,66.2,69.89,72.48,73.4,66.1,67.27
"26",70.9,68.23,57.95,69.67,66.15,77.73,66.99,70.32,74.41,76.9,69.05,66.35
"27",60.8,64.77,60.09,65.63,69.81,68.69,68.36,77.03,59.01,64.21,66.77,66.25
"28",66.09,70.92,59.68,67.55,69.06,64.88,69.95,68.53,67.41,67.61,65.67,67.73
"29",65.04,65.09,60.48,65.83,64.35,67.39,66.78,69.97,65.77,66.31,65.6,69.91
"30",70.14,77.12,69.21,71.4,69.58,68.68,64.95,70.91,73.1,72.27,72.32,71.82
"31",62.1,67.93,58.79,65.3,67.81,66.67,65.2,70.62,64.92,77.62,72.14,64.28
"32",71.65,66.53,67.13,68.35,67.42,63.22,61.09,75.22,72.02,69.18,65.04,68.76
"33",63.19,65.51,67.29,67.51,74.37,60.23,71.11,66.9,64.42,75.49,68.75,66.4
"34",64.51,72.12,64.45,66.76,56.52,71.27,71.1,77.16,70,71.92,69.49,58.24
"35",66.34,61.96,60.68,66.59,75.88,68.44,68.37,65.82,71.43,72.59,65.76,62.2
"36",67.78,73.43,63.83,68.28,64.7,63.56,67.22,75.19,71.33,70.22,67.69,62.72
"37",63.62,62.55,63.62,65.28,60.68,65.15,58.26,67.15,69.86,65.62,72.5,63.78
"38",69.22,65.03,60.51,67.85,65.66,64.87,64.85,73.88,70.75,72.85,68.53,69.31
"39",63.11,62.72,60.9,68,65.49,71.91,71.16,84.87,64.38,70.41,69.62,72.27
"40",66.13,65.6,57.98,64.73,65.8,62.84,63.57,69.72,63.39,70.22,64.47,61.95
"41",65.8,69.79,65.83,65.48,63.28,60.75,66.05,66.42,63.31,66.38,67.9,65.63
"42",64.72,62.37,62.25,66.1,63.24,66.11,69.37,69.55,68.27,68.99,69.41,62.77
"43",71.11,67.86,63.59,68.13,65.23,65.15,72.92,70.27,65.39,69.21,65.72,71.61
"44",64.36,72.31,62.98,66.65,59.73,65.82,68.22,65.58,64.91,68.83,68.95,73.12
"45",65.84,64.66,64.13,66.92,70.65,72.75,66.02,69.86,70.06,70.73,67.46,69.75
"46",66.5,70.23,58.08,68.22,70.12,69.05,70.08,81.82,67.33,68.91,64.89,68.31
"47",65.43,67.15,60.3,66.7,71.7,67.84,71.3,70.87,70.37,68.62,65.37,68.87
"48",66.14,65.85,67.34,67.07,68.27,67.24,61.24,67.21,68.33,66.66,68.96,71.04
"49",64.42,66.11,63.41,67.17,62.06,69.17,68.9,66.38,71.44,72.5,68.58,70.73
"50",68.42,64.91,63.72,67.92,75.39,58.66,71.66,68.1,68.66,66.64,72.21,72.07
"51",67.81,60.97,64.55,67.25,67.41,74.37,61.29,65.82,63.99,65.25,68.02,75.32
"52",64.58,67.61,62.64,66.02,63.34,58.96,69.01,65.64,67.88,67.45,70.25,61.77
"53",63.4,62.11,63.36,67.26,66.3,69.96,70.32,72.74,67.63,70.97,67.4,63.53
"54",61.25,63.52,65.15,65.21,67.45,61.45,69.93,69.76,65.67,66.64,65.17,65.86
"55",65.66,65.86,64.48,64.96,69.1,66.86,63.8,63.16,61.56,64.57,61.54,63.87
"56",66.15,67.15,61.35,65.66,67.42,65.65,65.55,62.72,67.72,68.29,59.15,65.15
"57",66.42,74.96,63.7,68.1,64.5,68.75,66.77,67.32,72.26,75.13,69.88,67.97
"58",74.04,63.8,68.77,68.81,75.3,69.8,75.3,67.68,63.87,67.93,63.3,69.21
"59",66.09,67.39,64.77,65.91,67.24,60.98,67.73,59.88,63,64.48,66.35,72.45
"60",66.41,67.63,69.54,67.9,73.29,62.23,66.38,72.89,68.09,66.47,67.66,73.54
"61",65.21,62.56,62.07,66.15,71.17,68.58,71.75,61.7,65.22,71.08,63.86,66.44
"62",67.79,73.95,74.98,70.07,69.59,70.66,63.53,69.43,68.22,71.87,68.58,70.56
"63",65.81,60.73,56.05,67.01,64.17,64.66,76.41,73.26,69.21,64.3,65.51,71.21
"64",70.31,64.72,60.56,66.76,60.66,61.96,69.97,71.33,69.59,70.44,67.87,68.06
"65",67.85,69.07,59.37,66.37,63.71,66.77,67.62,75.35,64.07,68.62,68.17,63.52
"66",65.58,64.77,62.26,65.6,66.7,65.36,63.89,66.68,65.84,69.92,62.63,63.75
"67",68.5,71.66,63.42,67.1,70.92,60.84,66.47,74.15,65.78,68.65,63.88,65.59
"68",61.53,65.36,63.18,66.62,66.1,63.46,64.12,70.35,71.13,69.15,68.74,67.95
"69",69.18,65.04,60.36,66.53,74.58,67.76,62.47,61.92,65.14,65.76,70.85,66.12
"70",63.09,62.16,52.49,68.01,66.89,64.49,67.89,89.09,70.69,67.49,69.49,74.49
"71",65.17,76.39,73.99,69.2,68.85,64.92,67.79,71.3,69.48,77.86,72.5,68.03
"72",68.3,59.9,58.36,66.36,67.55,66.78,62.82,66.88,73.53,70.53,70.06,66.41
"73",69.44,78.36,73.02,70.33,67.36,67.62,64.75,70.44,69.72,69.92,70.91,63.01
"74",67.54,67.65,63.22,66.36,72.15,67.73,63.86,63.98,66.81,68.61,70.16,64.91
"75",63.29,68.52,59.63,66.31,69.04,59.88,71.03,68.53,67.97,68.13,61.8,67.88
"76",61.48,69.23,63.85,65.99,73.47,66.46,71.51,62.79,60.61,64.2,65.14,72.34
"77",64.68,68.33,64.49,68.05,70.62,59.03,68.58,68.57,69.75,72.56,70.44,67.27
"78",66.66,62.83,62.62,64.8,62.98,61.42,66.44,68.67,68.91,69.01,65.63,64.44
"79",73.39,59.99,73.79,70.01,67.79,62.79,66.79,74.79,69.79,71.79,81.79,74.79
"80",63.13,68.85,67.81,67.85,73.21,58.58,65.5,69.71,69.04,68.35,70.06,70.9
"81",63.97,73.81,62.66,67.97,62.26,64.67,67.62,75.08,70.18,74.69,69.78,71.15
"82",65.16,66.08,60.79,66.06,70.28,64.38,67.68,76.08,70.08,72.08,64.08,65.5
"83",68.09,71.8,68.17,67.51,69.38,64.41,65.39,63.65,64.55,62.3,66.57,70.24
"84",69.35,67.64,62.26,67.46,63.2,68.51,61,64.55,67.32,71.71,68.86,70.23
"85",70.56,67.93,66.44,69.16,68.75,62.64,73.15,69.44,72.32,74.88,73.85,66.56
"86",65.33,66.31,63.74,67.36,67.14,59.08,68.52,74.31,67.69,70.83,65.36,67.3
"87",62.65,69.21,61.35,66.05,71.74,70.16,69.81,66.87,61.77,74.36,65.81,65.72
"88",69.62,73.95,58.76,67.46,66.45,61.99,67.71,73.36,66.94,69.24,67.75,64.28
"89",65.51,61.68,67.47,68.66,68.53,72.58,73.58,75.72,68.76,73.75,67.99,68.5
"90",73,70,58.53,66.6,67.65,66.22,66.22,67.16,62.64,66.45,63.64,66.5
"91",67.56,68.63,62.12,67.88,63.67,62.39,70.4,70.17,67.54,71.52,69.2,71.58
"92",63.23,77.04,70.39,69.26,65.54,67.7,74.2,69.3,72.13,71.4,75.13,65.18
"93",68.38,59.17,61.92,65.5,68.83,60.29,69.7,63.65,65.35,60.34,65.05,63.67
"94",67.21,69.62,61.84,68.98,68.32,66,68.94,80.92,63.49,70.44,65.93,71.75
"95",65.86,73.98,60.07,66.42,70.55,59.61,62.34,60.98,70.72,70.08,71.68,70.87
"96",67.99,82.15,66.49,67.83,75.89,73.99,64.2,77.49,67.49,62.29,69.82,60.41
"97",66.9,78.72,71.93,71.08,75.72,68.3,67.87,74.98,67.52,72.64,72.9,69.53
"98",68.21,76.12,64.48,69.3,73.17,65.95,69.15,71.26,66.25,73.58,70.38,66.67
"99",69.45,66.52,61.93,67.76,66.65,63.34,64.98,76.22,71.96,70.64,70.13,71.5
"100",68.19,81.3,66.3,68.95,70.3,65.3,61.3,65.3,75.3,67.3,68.3,72.3
"101",59.08,66.15,66.98,66.77,61.76,59.37,72.46,78.85,68.55,67.62,68.95,72.65
"102",58.05,54.33,57,63.95,62.38,64.13,66,71.17,60,73.17,69,72.75
"103",63.58,68.62,60.98,67.3,69.19,66.43,72.51,74.7,67.53,71.78,67.96,66.62
"104",66.13,65.3,60.65,67.66,67.86,69.18,65.6,77.18,68.81,68.54,65.31,65
"105",66.8,64.87,67.58,68.29,68.11,65.85,68.14,74.44,71.69,73.23,65.59,66.77
"106",65.28,68.46,66.78,67.4,64.36,55.77,61.32,71.03,66.96,71.88,67.41,72.07
"107",66.85,63.91,61.5,65.96,66.24,67.42,68.1,64.51,68.77,72.13,67.71,67.96
"108",70.65,71.07,66.52,68.82,68.45,67.26,68.11,76.32,70.51,69.26,66.01,64.85
"109",63.73,70.27,62.47,67.82,67.26,60.68,69.7,73.32,72.94,76.68,68.84,68.98
"110",67.1,66.85,63.98,67.18,66.64,74.98,75.98,73.98,63.62,65.71,68.12,63.86
"111",62.15,63.15,52.44,64.29,81.15,70.15,66.15,67.15,68.15,67.15,63.15,63.15
"112",67.94,85.54,72.66,71.59,66.96,55.27,70.36,76.01,71.07,70.89,72.41,67.32
"113",69.04,84.34,72.45,68.13,67.47,69.39,60.79,63.3,68.17,71.72,70.94,70.32
"114",64.48,61.68,63.89,66.15,61.61,67.04,70.47,68.95,69.27,73.48,63.36,65.83
"115",65.65,68.47,68.33,68.54,75.15,64.17,66.94,70.6,66.82,72.69,68.13,69.25
"116",66.78,69.12,67.22,67.93,67.84,62.31,70.6,68.46,67.05,72.28,70.02,67.88
"117",64.6,62.61,63.73,66.42,65.43,68.49,73.67,72,67.58,67.79,64.15,63.87
"118",67.09,70.66,64.56,68.07,68.77,61.43,73.9,71.57,74.37,68.96,65.9,68.43
"119",68.95,64.65,64.87,68.46,71.86,65.93,65.93,72.43,74.25,72.94,67.68,68.65
"120",67.76,67.38,64.83,66.68,70.48,59.83,65.63,66.65,66.97,72.54,68.23,67.25
"121",70.57,66.37,64.2,69.03,71.68,69.06,66.93,69.71,70.71,68.85,68.55,62.39
"122",64.18,66.83,61.91,65.84,70.38,69.38,64.88,70.18,66.42,69.88,65.66,65.1
"123",65.19,79.51,65.63,67.28,64.19,65.29,71.75,72.61,68.02,69.63,66.43,55.15
"124",67.15,64,61.56,67.47,70.21,73.62,68.31,70.08,66,62.29,70,74
"125",68.59,74.24,68.37,69.43,66.37,68.06,67.28,68.73,67.92,72.92,72.23,67.42
"126",64.54,65.39,59.1,65.02,68.41,64.66,68.33,65.11,66.53,70.29,65.81,65.34
"127",65.49,69.02,57.92,66.65,68.34,62.29,60.26,73.36,65.89,71.76,66.61,65.37
